state,last_update,lat,long,confirmed,deaths,recovered,active,fips,incident_rate,people_tested,people_hospitalized,mortality_rate,testing_rate,hospitalization_rate,date,month_abbr,day,state_abbr
New Hampshire,2020-04-13T23:07:54Z,43.4525,-71.5639,985,23,239,962,33,74.16342154639392,11207,152,2.33502538071066,843.8065637263317,15.431472081218274,2020-04-13,Apr,13,NH
New Jersey,2020-04-13T23:07:54Z,40.2989,-74.521,64584,2443,NA,62141,34,727.1179742833693,129469,7781,3.7826706304967175,1457.6247524540681,12.047875634832156,2020-04-13,Apr,13,NJ
New Mexico,2020-04-13T23:07:54Z,34.8405,-106.2485,1262,26,295,1236,35,75.68066119231224,30515,80,2.0602218700475436,1829.9487926175973,6.3391442155309035,2020-04-13,Apr,13,NM
New York,2020-04-13T23:07:54Z,42.1657,-74.9481,195749,10058,23887,185691,36,1160.9555172357552,478357,42712,5.138212711176047,2837.057652188998,21.819779411389074,2020-04-13,Apr,13,NY
North Carolina,2020-04-13T23:07:54Z,35.6301,-79.8064,4886,94,NA,4792,37,49.26458540766041,63388,313,1.9238641015145312,639.1288456448584,6.406058125255833,2020-04-13,Apr,13,NC
North Dakota,2020-04-13T23:07:54Z,47.5289,-99.78399999999999,331,8,127,323,38,54.582812515459636,10781,40,2.416918429003021,1777.816621538279,12.084592145015106,2020-04-13,Apr,13,ND
Ohio,2020-04-13T23:07:54Z,40.3888,-82.7649,6975,274,NA,6701,39,62.422475312917825,65112,2033,3.92831541218638,582.7171630931477,29.14695340501792,2020-04-13,Apr,13,OH
Oklahoma,2020-04-13T23:07:54Z,35.5653,-96.9289,2069,99,865,1970,40,56.56662202943214,22859,457,4.784920251329145,624.9668501550456,22.08796520057999,2020-04-13,Apr,13,OK
Oregon,2020-04-13T23:07:54Z,44.571999999999996,-122.0709,1584,53,NA,1531,41,39.53009103400636,31121,369,3.345959595959596,776.6514918366868,23.295454545454547,2020-04-13,Apr,13,OR
Pennsylvania,2020-04-13T23:07:54Z,40.5908,-77.2098,24292,589,NA,23703,42,192.98515026458398,129792,2243,2.4246665568911574,1031.1184185386498,9.233492507821506,2020-04-13,Apr,13,PA
Rhode Island,2020-04-13T23:07:54Z,41.6809,-71.5118,2665,63,135,2602,44,251.56674636880157,20661,331,2.3639774859287055,1950.3266591841686,12.420262664165103,2020-04-13,Apr,13,RI
South Carolina,2020-04-13T23:07:54Z,33.8569,-80.945,3391,82,NA,3309,45,67.2820797722211,31425,496,2.4181657328221764,623.514997594234,14.626953700973164,2020-04-13,Apr,13,SC
South Dakota,2020-04-13T23:07:54Z,44.2998,-99.4388,868,6,207,862,46,117.95209079593201,9002,44,0.6912442396313364,1223.2773287384562,5.0691244239631335,2020-04-13,Apr,13,SD
Tennessee,2020-04-13T23:07:54Z,35.7478,-86.6923,5610,109,1671,5501,47,85.45408488043054,76195,579,1.9429590017825311,1160.6370761968637,10.320855614973262,2020-04-13,Apr,13,TN
